user_id,device_name,action,event_time,parameters
P9000001,LIGHT,ON,2025-01-01 03:00:00,night_burst
P9000001,LIGHT,OFF,2025-01-01 03:07:00,night_burst
P9000002,LIGHT,ON,2025-01-01 06:24:00,
P9000002,LIGHT,OFF,2025-01-01 06:58:00,
P9000001,LIGHT,ON,2025-01-01 10:10:00,
P9000001,LIGHT,OFF,2025-01-01 10:28:00,
P9000002,HEATER,ON,2025-01-01 17:27:00,
P9000002,LIGHT,ON,2025-01-01 17:37:00,
P9000001,OVEN,ON,2025-01-01 18:20:00,anomaly_seed
P9000001,LIGHT,ON,2025-01-01 18:50:00,
P9000001,HEATER,ON,2025-01-01 19:03:00,
P9000002,HEATER,OFF,2025-01-01 19:38:00,
P9000001,OVEN,OFF,2025-01-01 20:30:00,anomaly_seed
P9000001,HEATER,OFF,2025-01-01 20:57:00,
P9000002,LIGHT,OFF,2025-01-01 22:33:00,
P9000001,LIGHT,OFF,2025-01-02 00:57:00,
P9000002,LIGHT,ON,2025-01-02 06:26:00,
P9000002,LIGHT,OFF,2025-01-02 07:15:00,
P9000001,LIGHT,ON,2025-01-02 09:56:00,
P9000001,LIGHT,OFF,2025-01-02 10:32:00,
P9000002,LIGHT,ON,2025-01-02 17:37:00,
P9000002,HEATER,ON,2025-01-02 17:38:00,
P9000001,LIGHT,ON,2025-01-02 19:06:00,
P9000001,HEATER,ON,2025-01-02 19:14:00,
P9000002,HEATER,OFF,2025-01-02 19:27:00,
P9000001,HEATER,OFF,2025-01-02 20:50:00,
P9000002,LIGHT,OFF,2025-01-02 22:34:00,
P9000001,LIGHT,OFF,2025-01-03 01:07:00,
P9000002,LIGHT,ON,2025-01-03 06:26:00,
P9000002,LIGHT,OFF,2025-01-03 07:05:00,
P9000001,LIGHT,ON,2025-01-03 09:50:00,
P9000001,LIGHT,OFF,2025-01-03 10:30:00,
P9000002,LIGHT,ON,2025-01-03 17:23:00,
P9000002,HEATER,ON,2025-01-03 17:27:00,
P9000001,LIGHT,ON,2025-01-03 19:03:00,
P9000001,HEATER,ON,2025-01-03 19:05:00,
P9000002,HEATER,OFF,2025-01-03 19:32:00,
P9000001,HEATER,OFF,2025-01-03 20:58:00,
P9000002,LIGHT,OFF,2025-01-03 22:23:00,
P9000001,LIGHT,OFF,2025-01-04 00:54:00,
P9000002,LIGHT,ON,2025-01-04 06:23:00,
P9000002,LIGHT,OFF,2025-01-04 07:07:00,
P9000001,LIGHT,ON,2025-01-04 10:01:00,
P9000001,LIGHT,OFF,2025-01-04 10:44:00,
P9000002,LIGHT,ON,2025-01-04 17:22:00,
P9000002,HEATER,ON,2025-01-04 17:42:00,
P9000001,HEATER,ON,2025-01-04 18:56:00,
P9000001,LIGHT,ON,2025-01-04 18:58:00,
P9000002,HEATER,OFF,2025-01-04 19:29:00,
P9000001,HEATER,OFF,2025-01-04 21:04:00,
P9000002,LIGHT,OFF,2025-01-04 22:40:00,
P9000001,LIGHT,OFF,2025-01-05 01:07:00,
P9000002,LIGHT,ON,2025-01-05 06:29:00,
P9000002,LIGHT,OFF,2025-01-05 06:57:00,
P9000001,LIGHT,ON,2025-01-05 10:01:00,
P9000001,LIGHT,OFF,2025-01-05 10:43:00,
P9000002,LIGHT,ON,2025-01-05 17:27:00,
P9000002,HEATER,ON,2025-01-05 17:28:00,
P9000001,LIGHT,ON,2025-01-05 18:56:00,
P9000001,HEATER,ON,2025-01-05 18:57:00,
P9000002,HEATER,OFF,2025-01-05 19:32:00,
P9000001,HEATER,OFF,2025-01-05 20:51:00,
P9000002,LIGHT,OFF,2025-01-05 22:28:00,
P9000001,LIGHT,OFF,2025-01-06 00:57:00,
P9000002,LIGHT,ON,2025-01-06 06:40:00,
P9000002,LIGHT,OFF,2025-01-06 06:57:00,
P9000001,LIGHT,ON,2025-01-06 10:01:00,
P9000001,LIGHT,OFF,2025-01-06 10:30:00,
P9000002,LIGHT,ON,2025-01-06 17:39:00,
P9000002,HEATER,ON,2025-01-06 17:45:00,
P9000001,LIGHT,ON,2025-01-06 19:01:00,
P9000001,HEATER,ON,2025-01-06 19:06:00,
P9000002,HEATER,OFF,2025-01-06 19:25:00,
P9000001,HEATER,OFF,2025-01-06 20:56:00,
P9000002,LIGHT,OFF,2025-01-06 22:37:00,
P9000001,LIGHT,OFF,2025-01-07 00:58:00,
P9000002,LIGHT,ON,2025-01-07 06:27:00,
P9000002,LIGHT,OFF,2025-01-07 07:05:00,
P9000001,LIGHT,ON,2025-01-07 09:55:00,
P9000001,LIGHT,OFF,2025-01-07 10:39:00,
P9000002,LIGHT,ON,2025-01-07 17:21:00,
P9000002,HEATER,ON,2025-01-07 17:32:00,
P9000001,LIGHT,ON,2025-01-07 19:02:00,
P9000001,HEATER,ON,2025-01-07 19:03:00,
P9000002,HEATER,OFF,2025-01-07 19:21:00,
P9000001,HEATER,OFF,2025-01-07 21:10:00,
P9000002,LIGHT,OFF,2025-01-07 22:30:00,
P9000001,LIGHT,OFF,2025-01-08 01:07:00,
